year,food,alcohol,housing,daily,service,transport,communication,entertainment,clothing,repair,education,travel,medical,cash,stock_total,fund_total,bond_total,debt_total,house_asset,num_labor,num_child,num_elder,num_medicare,hhid,liquid_month,debt_asset_ratio,dep_ratio,insure_rate,FFVI_raw,FFVI,risk_level,risk_liquid,std_debt_asset_ratio,std_dep_ratio,risk_insure,model_year_used,is_reference_model,created_at
2011,1000.0,700.0,800.0,90.0,0.0,90.0,9.0,200.0,300.0,0.0,0.0,0.0,400.0,50000.0,0.0,1.0,0.0,0.0,0.0,3,1,0,3,2011000001,13.931652270827527,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:16:02
2011,200.0,900.0,800.0,70.0,20.0,90.0,280.0,280.0,38.0,0.0,0.0,0.0,70.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.19505094614265,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:25:23
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:29:52
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:32:10
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:37:19
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:38:34
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:39:27
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:39:29
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:39:31
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,,,绿色-财务健康,,,,,,,2026-08-15T11:41:51
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,0.0941907595307566,55.44,红色-高脆弱风险,-2.4185485022696085,-0.2322733635017055,-0.4081108814567802,3.7869725260410414,2017.0,1.0,2026-08-15T11:44:14
2011,400.0,600.0,700.0,700.0,0.0,40.0,60.0,70.0,70.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,3,1,0,3,2011000001,18.939393939393938,0.0,0.3333333333333333,0.75,0.09419075953075662,55.44,红色-高脆弱风险,-2.4185485022696085,-0.2322733635017055,-0.4081108814567802,3.7869725260410423,2017.0,1.0,2026-08-15T11:44:18
